Flight_ID,Airline,Origin_Airport,Destination_Airport,Scheduled_Departure,Weather_Delay,Air_Traffic_Delay,Security_Delay,Aircraft_Maintenance_Delay,Total_Delay
71,Delta,JFK,MIA,8,7,35,3,20,65
72,American,ORD,BOS,5,4,57,3,15,79
73,Delta,LAX,BOS,18,18,4,6,12,40
74,American,DFW,PHX,11,14,52,13,17,96
75,Delta,LAX,BOS,5,43,29,3,2,77
76,American,JFK,SEA,15,10,26,13,8,57
77,United,ATL,SEA,7,59,19,13,13,104
78,JetBlue,LAX,SEA,7,29,24,9,18,80
79,Delta,DFW,SEA,4,32,6,0,7,45
80,Delta,JFK,DEN,1,47,10,4,6,67
81,Southwest,ATL,MIA,2,29,32,7,11,79
82,United,ORD,SEA,7,13,33,5,12,63
83,Southwest,ORD,SEA,19,56,8,4,27,95
84,Southwest,ATL,DEN,11,39,25,10,1,75
85,Southwest,DFW,BOS,4,59,33,14,26,132
86,United,DFW,MIA,6,15,27,9,25,76
87,American,ATL,PHX,21,12,52,14,27,105
88,United,JFK,BOS,7,29,22,3,19,73
89,United,ATL,MIA,0,34,9,5,27,75
90,Southwest,JFK,BOS,3,23,45,12,24,104
91,Delta,LAX,MIA,22,12,59,6,6,83
92,United,ORD,SEA,12,35,32,6,29,102
93,United,ORD,PHX,7,25,10,14,7,56
94,JetBlue,DFW,PHX,15,15,51,12,10,88
95,American,JFK,DEN,6,25,4,13,17,59
96,JetBlue,LAX,SEA,20,19,17,2,13,51
97,United,LAX,DEN,12,45,2,6,11,64
98,JetBlue,LAX,PHX,0,42,44,2,25,113
99,Southwest,DFW,SEA,2,48,24,1,9,82
100,Southwest,ORD,DEN,18,32,4,10,28,74
101,Delta,LAX,BOS,12,1,40,12,10,63
102,Delta,LAX,MIA,20,36,14,5,1,56
103,Southwest,DFW,DEN,5,26,34,10,23,93
104,United,DFW,MIA,13,26,7,9,27,69
105,United,ORD,MIA,3,45,33,2,20,100
106,JetBlue,LAX,BOS,4,27,2,11,6,46
107,Southwest,JFK,BOS,22,41,38,0,1,80
108,JetBlue,ORD,DEN,6,21,30,11,28,90
109,JetBlue,ORD,PHX,0,5,14,0,13,32
110,Southwest,JFK,DEN,20,59,40,7,27,133
111,JetBlue,ATL,PHX,22,56,4,7,8,75
112,American,ATL,DEN,9,49,1,10,25,85
113,United,DFW,PHX,17,28,15,9,29,81
114,Delta,JFK,BOS,10,52,14,12,1,79
115,JetBlue,DFW,BOS,1,41,5,12,10,68
116,United,JFK,BOS,17,4,31,13,18,66
117,United,LAX,DEN,13,12,36,9,28,85
118,Delta,ORD,DEN,16,54,10,1,13,78
119,Delta,LAX,SEA,0,46,39,7,21,113
120,American,LAX,SEA,17,39,56,5,19,119
121,United,JFK,DEN,22,40,35,5,27,107
122,American,LAX,SEA,12,55,10,4,27,96
123,JetBlue,LAX,DEN,15,22,20,1,29,72
124,Southwest,DFW,MIA,19,25,47,11,14,97
125,United,ATL,DEN,8,42,17,9,22,90
126,Delta,ATL,PHX,3,50,26,7,13,96
127,United,DFW,BOS,16,14,18,3,1,36
128,Southwest,LAX,DEN,17,20,6,11,16,53
129,JetBlue,LAX,SEA,13,47,41,3,22,113
130,JetBlue,LAX,BOS,10,28,54,0,14,96
131,Delta,DFW,PHX,20,5,52,14,9,80
132,Delta,DFW,SEA,9,51,19,0,12,82
133,United,DFW,PHX,19,58,48,5,4,115
134,United,JFK,SEA,5,23,15,2,6,46
135,Southwest,ATL,SEA,22,45,44,11,6,106
136,American,JFK,DEN,22,31,4,6,25,66
137,American,ORD,BOS,10,3,22,4,24,53
138,United,JFK,MIA,17,4,23,4,11,42
139,Delta,ORD,SEA,2,2,28,2,4,36
140,Southwest,DFW,BOS,17,58,17,7,26,108
141,Southwest,DFW,DEN,2,22,27,12,29,90
142,Delta,LAX,BOS,8,3,4,9,21,37
143,United,ATL,BOS,15,38,56,2,6,102
144,Delta,ATL,BOS,22,12,24,0,10,46
145,United,ORD,SEA,21,27,5,4,12,48
146,Delta,ATL,PHX,6,8,33,5,10,56
147,Delta,ORD,PHX,23,2,1,10,8,21
148,Delta,LAX,MIA,8,32,31,1,10,74
149,Delta,LAX,PHX,13,45,10,11,27,93
150,Delta,ORD,BOS,12,26,28,13,23,90
151,United,LAX,BOS,0,2,31,2,6,41
152,United,JFK,DEN,7,52,48,8,13,121
153,American,JFK,MIA,8,34,34,11,26,105
154,American,LAX,DEN,0,15,20,12,25,72
155,Southwest,ORD,SEA,12,16,50,7,15,88
156,Southwest,ORD,SEA,23,5,1,7,21,34
157,JetBlue,ORD,PHX,19,33,17,14,8,72
158,JetBlue,LAX,DEN,2,39,4,6,11,60
159,Southwest,JFK,BOS,5,49,11,4,17,81
160,Delta,DFW,MIA,23,12,52,3,19,86
161,United,ORD,PHX,18,24,57,10,24,115
162,Southwest,JFK,DEN,19,21,14,13,6,54
163,American,DFW,MIA,1,41,46,5,24,116
164,United,JFK,BOS,18,31,18,8,17,74
165,United,DFW,BOS,1,17,18,10,17,62
166,American,ATL,SEA,19,5,58,10,23,96
167,Southwest,DFW,SEA,3,36,55,7,16,114
168,Southwest,DFW,PHX,5,31,34,1,23,89
169,Delta,ORD,MIA,11,54,44,11,18,127
170,Southwest,ATL,MIA,10,24,21,2,9,56
171,United,LAX,PHX,4,51,20,6,14,91
172,United,ORD,MIA,4,15,17,12,4,48
173,United,ATL,BOS,3,33,11,5,13,62
174,American,LAX,DEN,4,31,4,12,15,62
175,Southwest,ATL,SEA,21,13,51,13,19,96
176,Delta,ATL,PHX,2,44,58,1,28,131
177,Southwest,JFK,MIA,19,45,52,9,8,114
178,Delta,ORD,PHX,4,41,26,8,4,79
179,JetBlue,ORD,PHX,7,25,49,0,16,90
180,Southwest,DFW,BOS,6,28,14,5,18,65
181,Delta,JFK,PHX,1,34,30,0,29,93
182,American,ATL,SEA,11,17,33,0,19,69
183,United,DFW,MIA,17,13,17,1,6,37
184,Delta,ORD,SEA,9,55,21,11,10,97
185,United,DFW,SEA,21,38,42,12,2,94
186,United,ORD,DEN,17,1,9,0,4,14
187,JetBlue,LAX,MIA,12,49,22,4,12,87
188,JetBlue,DFW,MIA,22,31,1,5,29,66
189,Delta,DFW,PHX,8,30,39,11,5,85
190,Southwest,LAX,DEN,5,50,48,4,3,105
191,JetBlue,DFW,SEA,7,54,27,4,4,89
192,JetBlue,DFW,PHX,15,35,57,14,9,115
193,American,ATL,MIA,12,47,5,0,29,81
194,Delta,ATL,DEN,20,15,7,6,28,56
195,Southwest,JFK,DEN,6,31,7,2,12,52
196,Southwest,ATL,DEN,16,59,5,1,17,82
197,United,JFK,PHX,18,29,12,2,24,67
198,American,ORD,DEN,16,23,24,9,25,81
199,American,LAX,PHX,1,16,4,4,14,38
200,Southwest,DFW,SEA,12,28,40,4,28,100
201,United,JFK,MIA,4,9,25,11,20,65
202,United,ATL,SEA,23,31,7,6,11,55
203,American,ORD,SEA,20,2,14,7,9,32
204,JetBlue,ATL,SEA,6,50,39,12,5,106
205,American,ATL,MIA,10,25,24,6,23,78
206,Southwest,JFK,PHX,5,53,49,6,21,129
207,United,ORD,SEA,8,44,20,13,4,81
208,Delta,LAX,DEN,22,44,43,3,15,105
209,American,ATL,SEA,18,37,19,9,11,76
210,United,ORD,SEA,20,11,15,5,12,43
211,United,DFW,BOS,7,31,58,6,15,110
212,JetBlue,JFK,DEN,20,58,3,10,22,93
213,United,ATL,PHX,11,0,50,1,20,71
214,Delta,JFK,SEA,23,7,30,8,4,49
215,Southwest,ATL,PHX,1,51,1,5,23,80
216,United,ATL,MIA,15,29,13,0,25,67
217,Southwest,JFK,MIA,22,57,33,14,3,107
218,JetBlue,LAX,MIA,0,55,24,1,14,94
219,American,LAX,DEN,16,43,28,6,15,92
220,American,LAX,BOS,3,0,23,9,21,53
221,Southwest,DFW,BOS,6,44,13,0,10,67
222,Southwest,ATL,SEA,23,6,44,6,28,84
223,Southwest,DFW,SEA,8,5,59,6,3,73
224,JetBlue,ORD,DEN,9,23,49,11,16,99
225,American,ATL,SEA,11,38,6,1,17,62
226,Delta,LAX,SEA,17,30,16,2,5,53
227,JetBlue,ATL,DEN,16,38,23,0,27,88
228,JetBlue,JFK,MIA,11,59,30,4,10,103
229,Delta,LAX,BOS,20,15,7,14,9,45
230,American,ORD,DEN,17,17,57,10,15,99
231,JetBlue,ORD,BOS,19,24,12,9,21,66
232,Delta,LAX,MIA,13,15,55,11,29,110
233,JetBlue,ATL,BOS,17,39,42,2,14,97
234,JetBlue,DFW,PHX,13,21,4,6,14,45
235,United,LAX,MIA,18,51,43,13,3,110
236,American,JFK,PHX,23,20,20,7,9,56
237,Southwest,LAX,SEA,7,8,12,4,18,42
238,American,JFK,DEN,12,47,52,5,11,115
239,Southwest,ORD,SEA,0,15,10,4,12,41
240,Delta,DFW,BOS,18,13,31,6,14,64
241,United,ATL,DEN,6,18,3,12,2,35
242,American,JFK,SEA,12,53,2,6,25,86
243,United,JFK,SEA,12,56,50,4,5,115
244,Southwest,LAX,DEN,15,9,47,4,11,71
245,United,JFK,MIA,15,0,1,4,14,19
246,Delta,ORD,MIA,1,57,9,2,23,91
247,United,LAX,SEA,11,40,23,9,22,94
248,United,ORD,SEA,18,47,34,9,14,104
249,Southwest,DFW,BOS,1,2,32,5,10,49
250,American,ATL,MIA,13,35,8,7,11,61
251,American,ATL,PHX,2,40,9,2,24,75
252,Southwest,ATL,DEN,7,45,5,0,16,66
253,American,ORD,MIA,5,14,25,0,26,65
254,Southwest,ATL,DEN,21,24,19,0,29,72
255,JetBlue,DFW,BOS,4,2,20,12,21,55
256,JetBlue,LAX,MIA,3,46,42,5,8,101
257,JetBlue,JFK,SEA,13,41,19,14,23,97
258,Southwest,DFW,MIA,11,53,56,12,20,141
259,JetBlue,ATL,MIA,5,40,29,0,3,72
260,American,LAX,PHX,17,59,38,5,12,114
261,JetBlue,JFK,DEN,6,10,3,2,26,41
262,Delta,DFW,DEN,19,0,8,12,13,33
263,United,DFW,SEA,21,28,23,3,28,82
264,American,LAX,MIA,20,10,20,12,5,47
265,JetBlue,ATL,SEA,6,2,7,6,29,44
266,United,ATL,SEA,5,24,47,0,25,96
267,American,DFW,MIA,9,55,18,3,2,78
268,JetBlue,ATL,SEA,8,54,33,4,27,118
269,JetBlue,ATL,BOS,1,3,56,5,13,77
270,JetBlue,DFW,PHX,4,58,45,13,25,141
271,JetBlue,ORD,SEA,22,41,3,12,11,67
272,Southwest,ATL,SEA,18,36,49,14,12,111
273,JetBlue,LAX,MIA,3,28,32,13,29,102
274,American,ORD,BOS,21,27,24,12,11,74
275,Southwest,ATL,SEA,7,20,24,3,2,49
276,American,JFK,PHX,22,33,8,8,4,53
277,JetBlue,ORD,SEA,18,45,38,12,10,105
278,United,LAX,SEA,14,19,53,2,28,102
279,JetBlue,ORD,PHX,8,17,24,4,29,74
280,American,ORD,BOS,18,55,27,0,1,83
281,Southwest,JFK,SEA,14,18,41,0,4,63
282,American,DFW,BOS,2,26,38,2,5,71
283,American,JFK,MIA,8,34,6,3,13,56
284,Southwest,ATL,BOS,11,58,4,8,4,74
285,American,ATL,DEN,3,26,37,13,14,90
286,JetBlue,JFK,PHX,1,15,8,1,14,38
287,Southwest,ATL,BOS,19,36,45,4,11,96
288,United,ORD,SEA,23,10,5,5,28,48
289,Delta,ORD,PHX,0,7,23,14,20,64
290,American,JFK,DEN,16,12,58,13,28,111
291,American,ORD,MIA,8,56,28,3,14,101
292,American,DFW,PHX,5,2,53,11,10,76
293,JetBlue,LAX,PHX,14,22,49,11,21,103
294,Delta,DFW,DEN,13,26,3,3,16,48
295,American,DFW,SEA,4,23,59,8,11,101
296,United,ATL,PHX,7,28,27,6,4,65
297,JetBlue,JFK,BOS,22,26,47,3,21,97
298,Delta,JFK,DEN,3,39,46,2,24,111
299,Delta,ORD,MIA,18,55,31,9,14,109
300,American,DFW,SEA,0,9,45,8,1,63
301,JetBlue,ATL,DEN,11,58,58,11,6,133
302,JetBlue,JFK,MIA,0,46,11,7,16,80
303,American,LAX,SEA,21,48,29,2,20,99
304,United,JFK,SEA,10,44,32,11,0,87
305,JetBlue,DFW,BOS,0,47,12,1,23,83
306,Delta,ORD,DEN,12,52,26,12,15,105
307,JetBlue,JFK,MIA,6,40,39,12,10,101
308,JetBlue,JFK,DEN,0,1,47,10,13,71
309,United,DFW,BOS,15,56,13,8,22,99
310,JetBlue,ORD,BOS,6,59,40,2,24,125
311,Southwest,LAX,SEA,6,7,18,4,13,42
312,United,JFK,BOS,11,38,33,4,6,81
313,Delta,JFK,MIA,13,6,30,5,22,63
314,Southwest,LAX,SEA,14,23,11,11,5,50
315,American,ORD,DEN,15,5,43,1,9,58
316,JetBlue,LAX,MIA,20,59,20,7,24,110
317,JetBlue,DFW,SEA,18,44,48,13,5,110
318,American,LAX,MIA,7,41,43,12,14,110
319,American,ATL,MIA,19,9,14,2,4,29
320,Southwest,DFW,BOS,5,52,36,1,5,94
321,JetBlue,LAX,SEA,8,30,21,4,8,63
322,JetBlue,ORD,SEA,3,15,26,0,2,43
323,Southwest,ORD,SEA,12,45,23,4,27,99
324,American,LAX,BOS,5,41,49,11,11,112
325,American,ATL,DEN,14,0,7,2,21,30
326,Delta,ORD,PHX,15,33,10,11,1,55
327,Southwest,ATL,BOS,19,5,58,2,23,88
328,American,ORD,PHX,9,40,17,2,27,86
329,Delta,JFK,PHX,6,29,10,12,14,65
330,JetBlue,LAX,SEA,16,53,34,12,14,113
331,American,JFK,MIA,21,37,56,0,11,104
332,American,JFK,PHX,1,11,15,8,6,40
333,American,ORD,PHX,14,33,9,9,7,58
334,JetBlue,ATL,BOS,11,49,13,7,24,93
335,American,LAX,MIA,21,2,46,8,0,56
336,American,ORD,SEA,5,20,7,6,16,49
337,Southwest,JFK,DEN,4,30,3,0,10,43
338,Southwest,ATL,DEN,20,48,0,1,24,73
339,Southwest,ATL,BOS,4,13,27,1,7,48
340,American,LAX,MIA,17,19,41,14,7,81
341,Delta,DFW,DEN,7,12,19,1,22,54
342,Southwest,LAX,MIA,20,29,45,0,0,74
343,Southwest,JFK,MIA,3,29,48,13,23,113
344,American,JFK,DEN,7,34,42,14,8,98
345,Southwest,LAX,DEN,12,19,4,14,23,60
346,JetBlue,ORD,BOS,6,35,23,12,4,74
347,Southwest,ATL,DEN,9,8,13,3,3,27
348,United,ATL,SEA,4,58,32,6,29,125
349,JetBlue,ATL,DEN,12,35,39,8,3,85
350,American,JFK,BOS,13,12,6,13,16,47
351,Southwest,ATL,SEA,20,50,24,9,12,95
352,Delta,ATL,BOS,3,30,32,12,6,80
353,Delta,ATL,PHX,7,51,9,11,15,86
354,JetBlue,DFW,BOS,6,1,54,8,19,82
355,United,ORD,SEA,10,42,22,3,8,75
356,JetBlue,ATL,SEA,13,57,53,8,9,127
357,United,LAX,MIA,4,48,54,5,2,109
358,JetBlue,ATL,DEN,19,15,22,10,24,71
359,United,LAX,BOS,1,20,44,5,22,91
360,Southwest,JFK,DEN,23,17,36,1,24,78
361,American,ATL,MIA,9,7,15,8,7,37
362,Southwest,ATL,PHX,9,36,0,12,29,77
363,American,ATL,PHX,20,54,56,2,5,117
364,Delta,ORD,PHX,7,53,25,8,5,91
365,JetBlue,DFW,MIA,4,55,50,10,20,135
366,JetBlue,ORD,BOS,2,37,12,10,0,59
367,Delta,ORD,MIA,10,37,51,13,10,111
368,American,DFW,MIA,20,1,12,11,14,38
369,JetBlue,LAX,PHX,10,28,1,2,2,33
370,United,DFW,PHX,21,27,28,9,28,92
371,JetBlue,DFW,MIA,0,35,9,4,29,77
372,Southwest,ORD,SEA,2,27,58,9,4,98
373,American,JFK,SEA,16,51,36,8,28,123
374,Delta,DFW,PHX,1,35,39,1,8,83
375,JetBlue,LAX,BOS,5,58,42,2,17,119
376,Delta,DFW,PHX,4,29,32,2,10,73
377,United,ATL,PHX,7,5,20,4,16,45
378,JetBlue,JFK,DEN,0,11,26,10,11,58
379,JetBlue,DFW,SEA,16,26,23,2,0,51
380,American,JFK,MIA,23,44,59,3,23,129
381,American,ORD,BOS,0,16,41,5,17,79
382,Delta,ORD,MIA,14,4,56,7,5,72
383,Delta,DFW,PHX,5,14,50,6,21,91
384,Southwest,ATL,BOS,15,0,24,0,14,38
385,American,LAX,SEA,22,47,15,13,2,77
386,Southwest,DFW,PHX,21,10,8,11,24,53
387,Delta,LAX,BOS,22,55,30,14,28,127
388,American,LAX,BOS,19,36,43,12,26,117
389,United,LAX,BOS,3,6,16,7,15,44
390,JetBlue,ORD,SEA,20,59,52,7,28,146
391,American,ORD,BOS,21,23,1,3,7,34
392,JetBlue,LAX,MIA,20,6,53,2,28,89
393,JetBlue,DFW,DEN,18,28,22,9,26,85
394,Southwest,DFW,SEA,11,43,21,3,15,82
395,JetBlue,LAX,MIA,22,0,28,0,22,50
396,Delta,DFW,SEA,0,36,28,7,5,76
397,Southwest,ORD,SEA,11,22,3,0,3,28
398,United,ORD,SEA,5,23,32,2,23,80
399,Delta,ORD,DEN,14,7,6,12,11,36
400,JetBlue,JFK,DEN,2,9,27,2,9,47
401,Delta,ATL,BOS,17,29,43,5,26,103
402,American,ORD,PHX,13,54,6,6,0,66
403,Delta,DFW,PHX,1,21,32,10,16,79
404,Southwest,JFK,MIA,4,29,26,10,4,69
405,Delta,ATL,MIA,3,48,12,14,14,88
406,JetBlue,DFW,PHX,6,20,55,11,8,94
407,Delta,LAX,BOS,5,8,31,8,0,47
408,Southwest,ATL,PHX,7,39,36,8,16,99
409,American,DFW,MIA,1,41,59,8,15,123
410,American,ORD,DEN,3,57,48,2,3,110
411,Southwest,DFW,SEA,15,35,45,9,29,118
412,American,LAX,PHX,21,48,49,9,10,116
413,Delta,LAX,DEN,5,49,48,10,12,119
414,American,DFW,BOS,6,35,44,9,8,96
415,Southwest,LAX,BOS,3,37,26,11,9,83
416,United,LAX,SEA,5,38,59,2,4,103
417,American,ATL,DEN,11,44,20,8,16,88
418,Southwest,DFW,PHX,14,45,23,5,3,76
419,JetBlue,JFK,BOS,6,21,46,10,11,88
420,JetBlue,DFW,SEA,14,51,30,2,15,98
421,Delta,ORD,PHX,16,5,18,4,11,38
422,United,ATL,BOS,6,35,36,0,1,72
423,American,JFK,SEA,11,23,11,1,0,35
424,American,JFK,SEA,2,37,5,10,13,65
425,Delta,JFK,PHX,20,58,16,5,8,87
426,American,LAX,BOS,1,26,19,0,7,52
427,American,ORD,SEA,20,55,19,1,22,97
428,Southwest,LAX,PHX,20,44,37,9,13,103
429,JetBlue,DFW,SEA,19,24,7,9,3,43
430,Delta,DFW,DEN,7,29,17,14,25,85
431,United,ORD,DEN,7,26,16,7,22,71
432,United,JFK,BOS,17,4,16,2,21,43
433,JetBlue,ATL,BOS,5,3,30,7,26,66
434,Southwest,ORD,DEN,17,0,36,10,0,46
435,Southwest,DFW,MIA,6,38,19,11,12,80
436,American,LAX,PHX,5,34,43,10,12,99
437,Delta,JFK,SEA,23,4,45,7,15,71
438,American,DFW,BOS,14,35,1,10,0,46
439,American,ATL,BOS,0,28,13,7,10,58
440,American,LAX,SEA,4,28,38,6,20,92
441,American,JFK,PHX,13,27,18,2,2,49
442,Delta,ATL,SEA,12,18,1,13,16,48
443,Delta,DFW,BOS,15,48,58,2,12,120
444,American,ORD,SEA,18,26,46,13,17,102
445,Delta,DFW,PHX,18,7,28,6,5,46
446,JetBlue,JFK,PHX,17,33,59,5,9,106
447,Delta,ATL,SEA,15,28,51,7,20,106
448,Southwest,LAX,SEA,7,20,40,10,1,71
449,Southwest,JFK,MIA,19,32,15,0,9,56
450,JetBlue,LAX,PHX,17,6,47,0,4,57
451,United,DFW,MIA,5,42,31,14,0,87
452,JetBlue,ORD,BOS,19,20,21,5,18,64
453,American,DFW,BOS,10,47,40,4,9,100
454,Delta,LAX,BOS,19,41,20,8,21,90
455,American,JFK,SEA,7,51,12,13,23,99
456,Southwest,ORD,PHX,20,46,36,10,19,111
457,Delta,ORD,BOS,23,6,6,6,3,21
458,Southwest,LAX,PHX,10,57,40,4,25,126
459,JetBlue,DFW,BOS,8,6,43,11,16,76
460,Southwest,LAX,MIA,6,29,33,5,12,79
461,United,LAX,SEA,2,5,47,2,1,55
462,Southwest,ORD,MIA,22,22,1,4,0,27
463,Delta,LAX,PHX,11,27,8,5,18,58
464,United,ORD,BOS,4,26,59,2,12,99
465,Delta,LAX,PHX,15,55,48,4,23,130
466,United,ORD,SEA,17,1,52,12,10,75
467,Southwest,DFW,MIA,14,40,5,11,10,66
468,United,ORD,BOS,15,18,0,12,7,37
469,United,DFW,PHX,4,51,1,0,11,63
470,Southwest,JFK,SEA,10,14,37,5,1,57
471,JetBlue,ATL,MIA,2,6,58,14,19,97
472,Delta,ORD,PHX,8,59,27,1,23,110
473,Delta,ATL,DEN,9,19,42,2,4,67
474,Southwest,JFK,DEN,19,55,7,3,10,75
475,Delta,ATL,BOS,15,39,2,8,24,73
476,JetBlue,ATL,BOS,23,18,5,4,25,52
477,Delta,JFK,SEA,1,18,56,13,16,103
478,United,DFW,BOS,21,28,22,12,12,74
479,JetBlue,JFK,DEN,15,53,40,0,17,110
480,Delta,ATL,BOS,16,33,16,14,7,70
481,JetBlue,ATL,BOS,10,58,34,2,6,100
482,Delta,ATL,SEA,18,4,10,0,12,26
483,American,ORD,SEA,1,44,55,6,3,108
484,Delta,LAX,MIA,11,58,15,11,27,111
485,American,ATL,SEA,18,23,56,2,18,99
486,Southwest,JFK,DEN,4,36,31,12,14,93
487,American,LAX,PHX,12,32,29,14,22,97
488,United,ORD,SEA,16,39,27,7,16,89
489,United,ATL,DEN,9,18,30,13,11,72
490,United,JFK,SEA,13,1,35,8,5,49
491,Delta,ATL,DEN,3,49,50,12,17,128
492,Southwest,JFK,BOS,11,19,37,8,18,82
493,American,ORD,MIA,22,32,44,0,21,97
494,Delta,JFK,MIA,17,7,16,7,7,37
495,United,DFW,PHX,13,53,27,13,22,115
496,JetBlue,LAX,MIA,17,17,35,2,26,80
497,JetBlue,DFW,SEA,21,44,58,7,14,123
498,Southwest,JFK,SEA,23,40,24,2,3,69
499,Southwest,ORD,MIA,1,29,9,1,1,40
500,American,LAX,PHX,12,24,55,0,7,86
501,Delta,JFK,SEA,7,35,15,9,5,64
502,JetBlue,JFK,BOS,0,23,32,9,23,87
503,Southwest,LAX,SEA,16,5,57,0,24,86
504,JetBlue,ORD,SEA,14,5,56,8,15,84
505,Southwest,LAX,BOS,11,21,21,0,21,63
506,JetBlue,LAX,DEN,6,55,54,12,2,123
507,Delta,ORD,SEA,14,29,53,13,19,114
508,Southwest,JFK,PHX,6,3,57,13,21,94
509,Southwest,ORD,PHX,15,40,9,7,26,82
510,Southwest,LAX,BOS,1,31,17,14,2,64
511,Delta,LAX,DEN,5,0,15,11,13,39
512,American,LAX,BOS,3,7,50,3,13,73
513,American,JFK,MIA,6,8,42,6,3,59
514,American,JFK,DEN,19,41,52,1,23,117
515,United,JFK,BOS,22,59,9,0,6,74
516,Southwest,ORD,BOS,10,29,2,10,19,60
517,American,LAX,PHX,9,20,6,11,12,49
518,United,JFK,DEN,17,7,53,3,27,90
519,Delta,JFK,PHX,9,36,11,4,20,71
520,American,ORD,BOS,19,14,41,5,3,63
521,JetBlue,ATL,PHX,19,31,57,12,5,105
522,Southwest,ATL,DEN,3,34,19,9,23,85
523,Delta,ORD,SEA,20,35,42,11,19,107
524,Delta,JFK,PHX,20,42,44,2,22,110
525,Delta,ORD,BOS,2,57,44,6,8,115
526,JetBlue,ATL,MIA,7,38,58,7,7,110
527,Delta,LAX,MIA,11,14,54,2,5,75
528,JetBlue,LAX,PHX,4,31,51,0,0,82
529,Delta,ORD,BOS,14,57,11,2,5,75
530,Southwest,ORD,MIA,22,10,26,13,3,52
531,United,LAX,PHX,8,46,31,7,6,90
532,JetBlue,JFK,DEN,2,4,37,9,12,62
533,Southwest,JFK,DEN,11,36,56,8,13,113
534,American,LAX,MIA,0,31,51,9,29,120
